point_id,beta1,beta_v,J0,J1,Jz,sigma,sum_J,energy_conserved,second_law_valid,beta_out,convergence_steps,final_error,threshold,margin,logic_output
0,0.5,4.499288515659321,-2.4733904853364076e-08,2.731343879028016e-08,-2.57953393755098e-09,2.6023671822457014e-08,-6.34895861720176e-19,True,True,0.1525599551486247,146,0.0008061620501888522,0.1525599452124234,9.936201306182113e-09,1
1,0.5714285714285714,4.2851120419517255,-2.0470809004246498e-08,2.2484381861559116e-08,-2.0135728572057554e-09,1.9871568156970295e-08,1.0686304974541937e-19,True,True,0.152559952053489,146,0.0008061633664813439,0.1525599452124234,6.8410656028916605e-09,1
2,0.6428571428571428,4.070916783900998,-1.702948786870249e-08,1.8602949275984766e-08,-1.5734614068257047e-09,1.5158654389603524e-08,4.565701973144629e-19,True,True,0.15255994964660172,146,0.0008061695380021383,0.1525599452124234,4.434178330070537e-09,1
3,0.7142857142857143,3.8567074991201116,-1.4185608387625533e-08,1.5405669279355575e-08,-1.2200608921410607e-09,1.1494423988325381e-08,-4.1101901534239275e-19,True,True,0.15255994771392026,146,0.0008061645534524764,0.1525599452124234,2.501496870754849e-09,1
4,0.7857142857142857,3.642487388849997,-1.1793320028446926e-08,1.2722556060677941e-08,-9.292360323491331e-10,8.622922027343996e-09,-1.18117875954969e-19,True,True,0.15255994612345342,146,0.0008061677553171387,0.1525599452124234,9.110300291936824e-10,1
5,0.8571428571428571,3.42825872117204,-9.75327081309519e-09,1.0438616557377625e-08,-6.853457439303175e-10,6.3678663429637105e-09,3.5211682809098705e-19,True,True,0.15255994478966312,146,0.0008061732262909516,0.1525599452124234,4.227602712347789e-10,0
6,0.9285714285714286,3.2140231722561396,-7.995110077473622e-09,8.472928021742472e-09,-4.778179441935831e-10,4.602764183071721e-09,7.526630130954225e-20,True,True,0.15255994365473244,146,0.0008061745831888789,0.1525599452124234,1.5576909484504853e-09,0
7,1.0,2.999782025094305,-6.467348083441875e-09,6.766587131114724e-09,-2.99239047656454e-10,3.233674041704542e-09,1.6394926535954147e-20,True,True,0.15255994267811782,146,0.0008061742084245205,0.1525599452124234,2.534305570955908e-09,0
8,1.0714285714285714,2.785536291371759,-5.131198991795407e-09,5.275435594345531e-09,-1.442366025315292e-10,2.188782667711572e-09,1.859465827867407e-20,True,True,0.15255994183043842,146,0.00080617837738578,0.1525599452124234,3.381984969852425e-09,0
9,1.1428571428571428,2.5712867895993665,-3.956696504306484e-09,3.965496196125627e-09,-8.799691501808777e-12,1.4118487952465324e-09,3.1733455541737993e-19,True,True,0.15255994108975934,146,0.0008061759747370889,0.1525599452124234,4.1226640434821604e-09,0
10,1.2142857142857142,2.3570341972067386,-2.92016354040859e-09,2.8100153279549124e-09,1.1014821213148703e-10,8.579356288218618e-10,-3.2219057090216077e-19,True,True,0.15255994043925555,146,0.0008061776147197108,0.1525599452124234,4.77316783320525e-09,0
11,1.2857142857142856,2.1427790865233867,-2.002518354772952e-09,1.7874930121656744e-09,2.1502534245815543e-10,4.905468883454062e-10,-1.4912236307225815e-19,True,True,0.1525599398657023,146,0.0008061787554148603,0.1525599452124234,5.346721093646423e-09,0
12,1.3571428571428572,1.928521950453134,-1.1881133316597177e-09,8.803388323280701e-10,3.077744991034353e-10,2.796499402266176e-10,-2.2821230676332677e-19,True,True,0.15255993935847442,146,0.0008061862628339633,0.1525599452124234,5.853948964462674e-09,0
13,1.4285714285714284,1.7142632213629854,-4.6392186219427793e-10,7.393503512403913e-11,3.899868273261955e-10,2.0027448721659412e-10,2.559566682913913e-19,True,True,0.15255993890887057,146,0.0008061787923717145,0.1525599452124234,6.3035528186095036e-09,0
14,1.5,1.5000032853924077,1.810422400944638e-10,-6.44029539050199e-10,4.6298729909880703e-10,2.3149364933479574e-10,1.4307184708416246e-19,True,True,0.15255993850964483,146,0.000806178075842573,0.1525599452124234,6.702778554412703e-09,0
