point_id,beta1,beta_v,J0,J1,Jz,Jz_abs
0,0.5,4.499288515659321,-2.4733904853364076e-08,2.731343879028016e-08,-2.57953393755098e-09,2.57953393755098e-09
1,0.5714285714285714,4.2851120419517255,-2.0470809004246498e-08,2.2484381861559116e-08,-2.0135728572057554e-09,2.0135728572057554e-09
2,0.6428571428571428,4.070916783900998,-1.702948786870249e-08,1.8602949275984766e-08,-1.5734614068257047e-09,1.5734614068257047e-09
3,0.7142857142857143,3.8567074991201116,-1.4185608387625533e-08,1.5405669279355575e-08,-1.2200608921410607e-09,1.2200608921410607e-09
4,0.7857142857142857,3.642487388849997,-1.1793320028446926e-08,1.2722556060677941e-08,-9.292360323491331e-10,9.292360323491331e-10
5,0.8571428571428571,3.42825872117204,-9.75327081309519e-09,1.0438616557377625e-08,-6.853457439303175e-10,6.853457439303175e-10
6,0.9285714285714286,3.2140231722561396,-7.995110077473622e-09,8.472928021742472e-09,-4.778179441935831e-10,4.778179441935831e-10
7,1.0,2.999782025094305,-6.467348083441875e-09,6.766587131114724e-09,-2.99239047656454e-10,2.99239047656454e-10
8,1.0714285714285714,2.785536291371759,-5.131198991795407e-09,5.275435594345531e-09,-1.442366025315292e-10,1.442366025315292e-10
9,1.1428571428571428,2.5712867895993665,-3.956696504306484e-09,3.965496196125627e-09,-8.799691501808777e-12,8.799691501808777e-12
10,1.2142857142857142,2.3570341972067386,-2.92016354040859e-09,2.8100153279549124e-09,1.1014821213148703e-10,1.1014821213148703e-10
11,1.2857142857142856,2.1427790865233867,-2.002518354772952e-09,1.7874930121656744e-09,2.1502534245815543e-10,2.1502534245815543e-10
12,1.3571428571428572,1.928521950453134,-1.1881133316597177e-09,8.803388323280701e-10,3.077744991034353e-10,3.077744991034353e-10
13,1.4285714285714284,1.7142632213629854,-4.6392186219427793e-10,7.393503512403913e-11,3.899868273261955e-10,3.899868273261955e-10
14,1.5,1.5000032853924077,1.810422400944638e-10,-6.44029539050199e-10,4.6298729909880703e-10,4.6298729909880703e-10
15,1.5714285714285714,1.2857424936065758,7.561469802640819e-10,-1.2840418736921295e-09,5.278948932931877e-10,5.278948932931877e-10
16,1.6428571428571428,1.0714811709376983,1.2694547647875962e-09,-1.8551205311475636e-09,5.856657662913356e-10,5.856657662913356e-10
17,1.7142857142857142,0.8572196235511854,1.7279575803715595e-09,-2.3650825059642855e-09,6.371247443124168e-10,6.371247443124168e-10
18,1.7857142857142856,0.6429581451218179,2.137758662099486e-09,-2.8207479743230287e-09,6.829891598503281e-10,6.829891598503281e-10
19,1.857142857142857,0.4286970222483363,2.5042112813209697e-09,-3.228097685265439e-09,7.238862758226438e-10,7.238862758226438e-10
20,1.9285714285714284,0.21443653937116625,2.832031557602809e-09,-3.592399166697833e-09,7.603675015143539e-10,7.603675015143539e-10
21,2.0,0.00017698327392240705,3.1253879150052295e-09,-3.918307299767337e-09,7.929192944011878e-10,7.929192944011878e-10
22,2.071428571428571,-0.2140813526503918,3.387974509587186e-09,-4.209946611056993e-09,8.219720256463758e-10,8.219720256463758e-10
23,2.142857142857143,-0.4283381642622358,3.6230721168739677e-09,-4.470979438851514e-09,8.479072583310128e-10,8.479072583310128e-10
24,2.2142857142857144,-0.6425931325726607,3.833599263460439e-09,-4.7046631373093635e-09,8.710638204511122e-10,8.710638204511122e-10
25,2.2857142857142856,-0.8568459195925349,4.022155648158208e-09,-4.913898636888397e-09,8.91742943865058e-10,8.91742943865058e-10
26,2.3571428571428568,-1.071096164059726,4.191059375940666e-09,-5.1012720783522445e-09,9.10212664899364e-10,9.10212664899364e-10
27,2.4285714285714284,-1.2853434769751848,4.342379149552614e-09,-5.269090809533956e-09,9.267116285242452e-10,9.267116285242452e-10
28,2.5,-1.4995874368813984,4.477962293413867e-09,-5.419414725796728e-09,9.414524058433009e-10,9.414524058433009e-10
29,2.571428571428571,-1.7138275848172237,4.599459287988687e-09,-5.554083713030676e-09,9.546244029577687e-10,9.546244029577687e-10
30,2.642857142857143,-1.9280634188821335,4.708345347747306e-09,-5.674741788279264e-09,9.663964220029305e-10,9.663964220029305e-10
31,2.714285714285714,-2.1422943883404653,4.805939467914926e-09,-5.782858413284749e-09,9.769189298231736e-10,9.769189298231736e-10
32,2.7857142857142856,-2.3565198871926514,4.893421287504229e-09,-5.879747366181158e-09,9.863260656832752e-10,9.863260656832752e-10
33,2.857142857142857,-2.5707392471355597,4.971846050999464e-09,-5.966583488467996e-09,9.947374266887325e-10,9.947374266887325e-10
34,2.9285714285714284,-2.7849517298282054,5.0421579088691336e-09,-6.044417572185731e-09,1.0022596542275403e-09,1.0022596542275403e-09
35,3.0,-2.999156518372017,5.105201755694474e-09,-6.1141896110100025e-09,1.0089878475035507e-09,1.0089878475035507e-09
36,3.071428571428571,-3.2133527079065636,5.161733779404392e-09,-6.1767406073985264e-09,1.0150068215461884e-09,1.0150068215461884e-09
37,3.142857142857143,-3.4275392952124855,5.212430868880182e-09,-6.232823100346432e-09,1.020392226146884e-09,1.020392226146884e-09
38,3.214285714285714,-3.641715167202454,5.2578990077548256e-09,-6.28311055839814e-09,1.0252115461186067e-09,1.0252115461186067e-09
39,3.2857142857142856,-3.8558790881691762,5.298680769877509e-09,-6.328205763399918e-09,1.0295249896238378e-09,1.0295249896238378e-09
40,3.3571428571428568,-4.070029685645959,5.3352620119626185e-09,-6.368648295998509e-09,1.0333862809746353e-09,1.0333862809746353e-09
41,3.4285714285714284,-4.284165434720341,5.368077853117057e-09,-6.404921220816706e-09,1.0368433651046416e-09,1.0368433651046416e-09
42,3.5,-4.498284640624631,5.397518017815934e-09,-6.4374570579671325e-09,1.0399390380294294e-09,1.0399390380294294e-09
43,3.571428571428571,-4.712385419408615,5.423931611213784e-09,-6.466643118028753e-09,1.0427115049285117e-09,1.0427115049285117e-09
44,3.642857142857143,-4.926465676479299,5.447631387223896e-09,-6.4928262688887485e-09,1.0451948801284752e-09,1.0451948801284752e-09
45,3.714285714285714,-5.140523082769689,5.468897564694803e-09,-6.516317195572681e-09,1.0474196297535307e-09,1.0474196297535307e-09
46,3.7857142857142856,-5.354555048273797,5.4879812389464325e-09,-6.537394209410351e-09,1.0494129674353308e-09,1.0494129674353308e-09
47,3.8571428571428568,-5.56855869265743,5.505107432870495e-09,-6.556306642536842e-09,1.0511992069983099e-09,1.0511992069983099e-09
48,3.9285714285714284,-5.782530812624117,5.5204778254781365e-09,-6.573277902933977e-09,1.052800075210744e-09,1.052800075210744e-09
49,4.0,-5.996467845682297,5.534273191892136e-09,-6.58850818498055e-09,1.054234991355919e-09,1.054234991355919e-09
