point_id,beta1,sigma,sigma_abs,sum_J,sum_J_abs,energy_conserved,second_law_valid
0,0.5,2.6023671822457014e-08,2.6023671822457014e-08,-6.34895861720176e-19,6.34895861720176e-19,True,True
1,0.5714285714285714,1.9871568156970295e-08,1.9871568156970295e-08,1.0686304974541937e-19,1.0686304974541937e-19,True,True
2,0.6428571428571428,1.5158654389603524e-08,1.5158654389603524e-08,4.565701973144629e-19,4.565701973144629e-19,True,True
3,0.7142857142857143,1.1494423988325381e-08,1.1494423988325381e-08,-4.1101901534239275e-19,4.1101901534239275e-19,True,True
4,0.7857142857142857,8.622922027343996e-09,8.622922027343996e-09,-1.18117875954969e-19,1.18117875954969e-19,True,True
5,0.8571428571428571,6.3678663429637105e-09,6.3678663429637105e-09,3.5211682809098705e-19,3.5211682809098705e-19,True,True
6,0.9285714285714286,4.602764183071721e-09,4.602764183071721e-09,7.526630130954225e-20,7.526630130954225e-20,True,True
7,1.0,3.233674041704542e-09,3.233674041704542e-09,1.6394926535954147e-20,1.6394926535954147e-20,True,True
8,1.0714285714285714,2.188782667711572e-09,2.188782667711572e-09,1.859465827867407e-20,1.859465827867407e-20,True,True
9,1.1428571428571428,1.4118487952465324e-09,1.4118487952465324e-09,3.1733455541737993e-19,3.1733455541737993e-19,True,True
10,1.2142857142857142,8.579356288218618e-10,8.579356288218618e-10,-3.2219057090216077e-19,3.2219057090216077e-19,True,True
11,1.2857142857142856,4.905468883454062e-10,4.905468883454062e-10,-1.4912236307225815e-19,1.4912236307225815e-19,True,True
12,1.3571428571428572,2.796499402266176e-10,2.796499402266176e-10,-2.2821230676332677e-19,2.2821230676332677e-19,True,True
13,1.4285714285714284,2.0027448721659412e-10,2.0027448721659412e-10,2.559566682913913e-19,2.559566682913913e-19,True,True
14,1.5,2.3149364933479574e-10,2.3149364933479574e-10,1.4307184708416246e-19,1.4307184708416246e-19,True,True
15,1.5714285714285714,3.5566472354117863e-10,3.5566472354117863e-10,-1.3485990815546571e-19,1.3485990815546571e-19,True,True
16,1.6428571428571428,5.578501019839815e-10,5.578501019839815e-10,-6.863179580898412e-20,6.863179580898412e-20,True,True
17,1.7142857142857142,8.253660382118764e-10,8.253660382118764e-10,-1.8128030929958973e-16,1.8128030929958973e-16,True,True
18,1.7857142857142856,1.1474228011487084e-09,1.1474228011487084e-09,-1.5237321482944271e-16,1.5237321482944271e-16,True,True
19,1.857142857142857,1.5148353605460022e-09,1.5148353605460022e-09,-1.2812182547674796e-16,1.2812182547674796e-16,True,True
20,1.9285714285714284,1.919783554998681e-09,1.919783554998681e-09,-1.0758066976885187e-16,1.0758066976885187e-16,True,True
21,2.0,2.3556134326256413e-09,2.3556134326256413e-09,-9.036091946470501e-17,9.036091946470501e-17,True,True
22,2.071428571428571,2.8166699043051876e-09,2.8166699043051876e-09,-7.582343154373205e-17,7.582343154373205e-17,True,True
23,2.142857142857143,3.2981547924684226e-09,3.2981547924684226e-09,-6.364653314669672e-17,6.364653314669672e-17,True,True
24,2.2142857142857144,3.796005659828963e-09,3.796005659828963e-09,-5.3397812299664473e-17,5.3397812299664473e-17,True,True
25,2.2857142857142856,4.3067918967853925e-09,4.3067918967853925e-09,-4.486513036613753e-17,4.486513036613753e-17,True,True
26,2.3571428571428568,4.827625313019925e-09,4.827625313019925e-09,-3.751221447107161e-17,3.751221447107161e-17,True,True
27,2.4285714285714284,5.356083041729298e-09,5.356083041729298e-09,-3.1457097290818594e-17,3.1457097290818594e-17,True,True
28,2.5,5.890140968527718e-09,5.890140968527718e-09,-2.6539559730991246e-17,2.6539559730991246e-17,True,True
29,2.571428571428571,6.428116212852367e-09,6.428116212852367e-09,-2.208422060876375e-17,2.208422060876375e-17,True,True
30,2.642857142857143,6.968617425399878e-09,6.968617425399878e-09,-1.8529027907717735e-17,1.8529027907717735e-17,True,True
31,2.714285714285714,7.510501847220183e-09,7.510501847220183e-09,-1.554664909546826e-17,1.554664909546826e-17,True,True
32,2.7857142857142856,8.052838237422178e-09,8.052838237422178e-09,-1.2993654155725928e-17,1.2993654155725928e-17,True,True
33,2.857142857142857,8.594874892434917e-09,8.594874892434917e-09,-1.077979954481758e-17,1.077979954481758e-17,True,True
34,2.9285714285714284,9.13601208672697e-09,9.13601208672697e-09,-9.089057262010218e-18,9.089057262010218e-18,True,True
35,3.0,9.675778351984744e-09,9.675778351984744e-09,-7.811977663782967e-18,7.811977663782967e-18,True,True
36,3.071428571428571,1.0213810089214123e-08,1.0213810089214123e-08,-6.447946080335062e-18,6.447946080335062e-18,True,True
37,3.142857142857143,1.0749834071621627e-08,1.0749834071621627e-08,-5.319365461190934e-18,5.319365461190934e-18,True,True
38,3.214285714285714,1.1283652451386033e-08,1.1283652451386033e-08,-4.5247079359622664e-18,4.5247079359622664e-18,True,True
39,3.2857142857142856,1.1815129935302484e-08,1.1815129935302484e-08,-3.8985710897484145e-18,3.8985710897484145e-18,True,True
40,3.3571428571428568,1.2344182837647857e-08,1.2344182837647857e-08,-3.0612552399449277e-18,3.0612552399449277e-18,True,True
41,3.4285714285714284,1.2870769755162764e-08,1.2870769755162764e-08,-2.595007856644207e-18,2.595007856644207e-18,True,True
42,3.5,1.3394883638131631e-08,1.3394883638131631e-08,-2.1217687292158817e-18,2.1217687292158817e-18,True,True
43,3.571428571428571,1.3916545071210641e-08,1.3916545071210641e-08,-1.8864569380501654e-18,1.8864569380501654e-18,True,True
44,3.642857142857143,1.4435796589987547e-08,1.4435796589987547e-08,-1.5363771456151668e-18,1.5363771456151668e-18,True,True
