architecture,chain_length,physical_vertices,primal_edges,cycle_rank,primal_treewidth_upper_bound,factor_treewidth,ordering,cutwidth,bandwidth,total_edge_span,log2_edge_boundary_proxy
direct,1,6,6,1,2,1,interleaved_mps,4,3,13,4
direct,1,6,6,1,2,1,graph_optimized_mps,3,2,9,3
direct,1,6,6,1,2,1,factor_tree_ttn,1,1,6,1
passive_buffer,1,7,7,1,2,1,interleaved_mps,4,4,16,4
passive_buffer,1,7,7,1,2,1,graph_optimized_mps,3,2,10,3
passive_buffer,1,7,7,1,2,1,factor_tree_ttn,1,1,7,1
floquet_buffer,1,7,7,1,2,1,interleaved_mps,4,4,16,4
floquet_buffer,1,7,7,1,2,1,graph_optimized_mps,3,2,10,3
floquet_buffer,1,7,7,1,2,1,factor_tree_ttn,1,1,7,1
direct,2,9,9,1,2,1,interleaved_mps,4,3,22,4
direct,2,9,9,1,2,1,graph_optimized_mps,3,2,14,3
direct,2,9,9,1,2,1,factor_tree_ttn,1,1,9,1
passive_buffer,2,10,10,1,2,1,interleaved_mps,4,4,25,4
passive_buffer,2,10,10,1,2,1,graph_optimized_mps,3,2,15,3
passive_buffer,2,10,10,1,2,1,factor_tree_ttn,1,1,10,1
floquet_buffer,2,10,10,1,2,1,interleaved_mps,4,4,25,4
floquet_buffer,2,10,10,1,2,1,graph_optimized_mps,3,2,15,3
floquet_buffer,2,10,10,1,2,1,factor_tree_ttn,1,1,10,1
direct,3,12,12,1,2,1,interleaved_mps,4,3,31,4
direct,3,12,12,1,2,1,graph_optimized_mps,3,2,19,3
direct,3,12,12,1,2,1,factor_tree_ttn,1,1,12,1
passive_buffer,3,13,13,1,2,1,interleaved_mps,4,4,34,4
passive_buffer,3,13,13,1,2,1,graph_optimized_mps,3,2,20,3
passive_buffer,3,13,13,1,2,1,factor_tree_ttn,1,1,13,1
floquet_buffer,3,13,13,1,2,1,interleaved_mps,4,4,34,4
floquet_buffer,3,13,13,1,2,1,graph_optimized_mps,3,2,20,3
floquet_buffer,3,13,13,1,2,1,factor_tree_ttn,1,1,13,1
direct,4,15,15,1,2,1,interleaved_mps,4,3,40,4
direct,4,15,15,1,2,1,graph_optimized_mps,3,2,24,3
direct,4,15,15,1,2,1,factor_tree_ttn,1,1,15,1
passive_buffer,4,16,16,1,2,1,interleaved_mps,4,4,43,4
passive_buffer,4,16,16,1,2,1,graph_optimized_mps,3,2,25,3
passive_buffer,4,16,16,1,2,1,factor_tree_ttn,1,1,16,1
floquet_buffer,4,16,16,1,2,1,interleaved_mps,4,4,43,4
floquet_buffer,4,16,16,1,2,1,graph_optimized_mps,3,2,25,3
floquet_buffer,4,16,16,1,2,1,factor_tree_ttn,1,1,16,1
direct,5,18,18,1,2,1,interleaved_mps,4,3,49,4
direct,5,18,18,1,2,1,graph_optimized_mps,3,2,29,3
direct,5,18,18,1,2,1,factor_tree_ttn,1,1,18,1
passive_buffer,5,19,19,1,2,1,interleaved_mps,4,4,52,4
passive_buffer,5,19,19,1,2,1,graph_optimized_mps,3,2,30,3
passive_buffer,5,19,19,1,2,1,factor_tree_ttn,1,1,19,1
floquet_buffer,5,19,19,1,2,1,interleaved_mps,4,4,52,4
floquet_buffer,5,19,19,1,2,1,graph_optimized_mps,3,2,30,3
floquet_buffer,5,19,19,1,2,1,factor_tree_ttn,1,1,19,1
direct,6,21,21,1,2,1,interleaved_mps,4,3,58,4
direct,6,21,21,1,2,1,graph_optimized_mps,3,2,34,3
direct,6,21,21,1,2,1,factor_tree_ttn,1,1,21,1
passive_buffer,6,22,22,1,2,1,interleaved_mps,4,4,61,4
passive_buffer,6,22,22,1,2,1,graph_optimized_mps,3,2,35,3
passive_buffer,6,22,22,1,2,1,factor_tree_ttn,1,1,22,1
floquet_buffer,6,22,22,1,2,1,interleaved_mps,4,4,61,4
floquet_buffer,6,22,22,1,2,1,graph_optimized_mps,3,2,35,3
floquet_buffer,6,22,22,1,2,1,factor_tree_ttn,1,1,22,1
direct,7,24,24,1,2,1,interleaved_mps,4,3,67,4
direct,7,24,24,1,2,1,graph_optimized_mps,3,2,39,3
direct,7,24,24,1,2,1,factor_tree_ttn,1,1,24,1
passive_buffer,7,25,25,1,2,1,interleaved_mps,4,4,70,4
passive_buffer,7,25,25,1,2,1,graph_optimized_mps,3,2,40,3
passive_buffer,7,25,25,1,2,1,factor_tree_ttn,1,1,25,1
floquet_buffer,7,25,25,1,2,1,interleaved_mps,4,4,70,4
floquet_buffer,7,25,25,1,2,1,graph_optimized_mps,3,2,40,3
floquet_buffer,7,25,25,1,2,1,factor_tree_ttn,1,1,25,1
direct,8,27,27,1,2,1,interleaved_mps,4,3,76,4
direct,8,27,27,1,2,1,graph_optimized_mps,3,2,44,3
direct,8,27,27,1,2,1,factor_tree_ttn,1,1,27,1
passive_buffer,8,28,28,1,2,1,interleaved_mps,4,4,79,4
passive_buffer,8,28,28,1,2,1,graph_optimized_mps,3,2,45,3
passive_buffer,8,28,28,1,2,1,factor_tree_ttn,1,1,28,1
floquet_buffer,8,28,28,1,2,1,interleaved_mps,4,4,79,4
floquet_buffer,8,28,28,1,2,1,graph_optimized_mps,3,2,45,3
floquet_buffer,8,28,28,1,2,1,factor_tree_ttn,1,1,28,1
