architecture,chain_length,ordering,exact_quimb_max_bond,compression_max_bond,fidelity,relative_l2_error
direct,1,interleaved_mps,8,2,0.9273776189539551,0.27201295908990497
direct,1,interleaved_mps,8,4,0.9998225936237694,0.013319693884764198
direct,1,interleaved_mps,8,8,1.0000000000000004,5.308030251874167e-15
direct,1,graph_optimized_mps,8,2,0.9419181489611037,0.24279754054744215
direct,1,graph_optimized_mps,8,4,0.9999792321077542,0.004557192125988231
direct,1,graph_optimized_mps,8,8,1.0000000000000004,1.4620953124248431e-15
passive_buffer,1,interleaved_mps,8,2,0.919940138029138,0.2858842459966241
passive_buffer,1,interleaved_mps,8,4,0.9977424240426218,0.04752737695234741
passive_buffer,1,interleaved_mps,8,8,1.0,5.588149229135657e-15
passive_buffer,1,graph_optimized_mps,8,2,0.9353499780717546,0.2563788887098408
passive_buffer,1,graph_optimized_mps,8,4,0.9980881056741581,0.043735672344708904
passive_buffer,1,graph_optimized_mps,8,8,1.0,6.1254389426943266e-15
floquet_buffer,1,interleaved_mps,8,2,0.9190669742036129,0.2874724057471121
floquet_buffer,1,interleaved_mps,8,4,0.9975036595062476,0.049978999292880744
floquet_buffer,1,interleaved_mps,8,8,1.0000000000000009,9.235329172595888e-15
floquet_buffer,1,graph_optimized_mps,8,2,0.9395738526092154,0.24772493684235047
floquet_buffer,1,graph_optimized_mps,8,4,0.9982688439047064,0.04161617437807025
floquet_buffer,1,graph_optimized_mps,8,8,1.0000000000000004,2.537181253448507e-15
direct,2,interleaved_mps,16,2,0.9174522599331044,0.2903884205778328
direct,2,interleaved_mps,16,4,0.9937070491635335,0.07939069478321117
direct,2,interleaved_mps,16,8,0.9998330985425752,0.012919304239442143
direct,2,graph_optimized_mps,16,2,0.9358730888536653,0.25532199887232687
direct,2,graph_optimized_mps,16,4,0.9956675807439627,0.06585682889920873
direct,2,graph_optimized_mps,16,8,0.9999997001502365,0.0005475854140137825
passive_buffer,2,interleaved_mps,31,2,0.9122429987245627,0.29961932968907995
passive_buffer,2,interleaved_mps,31,4,0.9944298674059554,0.07468541267511622
passive_buffer,2,interleaved_mps,31,8,0.9997524799635816,0.01573325633354842
passive_buffer,2,graph_optimized_mps,19,2,0.9303762180099485,0.2662325437371679
passive_buffer,2,graph_optimized_mps,19,4,0.9958458748649244,0.06448603188410802
passive_buffer,2,graph_optimized_mps,19,8,0.9999996812484214,0.0005645809108068788
floquet_buffer,2,interleaved_mps,31,2,0.9090900163136733,0.30508319826190194
floquet_buffer,2,interleaved_mps,31,4,0.9944932401174668,0.07425874985081411
floquet_buffer,2,interleaved_mps,31,8,0.999642926194607,0.018897240182370274
floquet_buffer,2,graph_optimized_mps,20,2,0.9367044821253827,0.2536338080629202
floquet_buffer,2,graph_optimized_mps,20,4,0.9964454795256246,0.059646330604481844
floquet_buffer,2,graph_optimized_mps,20,8,0.9999995642179824,0.0006601379127065508
direct,3,interleaved_mps,56,2,0.9104085803417599,0.3028090762427241
direct,3,interleaved_mps,56,4,0.9915829089704098,0.09184159090820461
direct,3,interleaved_mps,56,8,0.9995559707511351,0.021073171339510716
direct,3,graph_optimized_mps,23,2,0.9322321244209484,0.26259594394542746
direct,3,graph_optimized_mps,23,4,0.9943679331075114,0.07510006223063649
direct,3,graph_optimized_mps,23,8,0.9999744804156043,0.00505170735593176
passive_buffer,3,interleaved_mps,60,2,0.9039217688625494,0.31385345331324216
passive_buffer,3,interleaved_mps,60,4,0.9926362029435345,0.08589181321495908
passive_buffer,3,interleaved_mps,60,8,0.9995234309080975,0.02183176321250029
passive_buffer,3,graph_optimized_mps,27,2,0.9262139297202617,0.27422586247279884
passive_buffer,3,graph_optimized_mps,27,4,0.9951386323934173,0.06976596759984655
passive_buffer,3,graph_optimized_mps,27,8,0.9999781087032956,0.004678826403687197
floquet_buffer,3,interleaved_mps,60,2,0.9005871202015645,0.3193972851574945
floquet_buffer,3,interleaved_mps,60,4,0.9925856764186676,0.0861865291962758
floquet_buffer,3,interleaved_mps,60,8,0.9993992027398128,0.024513007294934542
floquet_buffer,3,graph_optimized_mps,26,2,0.9300259607564292,0.2669137087878768
floquet_buffer,3,graph_optimized_mps,26,4,0.9955627364144477,0.06664980768013096
floquet_buffer,3,graph_optimized_mps,26,8,0.9999779101890569,0.00469999286549023
direct,4,interleaved_mps,86,2,0.9008430364711699,0.31897487900081134
direct,4,interleaved_mps,86,4,0.9908751167691374,0.0956336479523504
direct,4,interleaved_mps,86,8,0.9994628971691576,0.023177035403166724
direct,4,graph_optimized_mps,30,2,0.9253227911408737,0.27590940698153127
direct,4,graph_optimized_mps,30,4,0.9941225172728061,0.07672121219826528
direct,4,graph_optimized_mps,30,8,0.9999693278198093,0.005538268266360948
passive_buffer,4,interleaved_mps,93,2,0.894456142089251,0.32937238832581933
passive_buffer,4,interleaved_mps,93,4,0.9918466710722331,0.0903881420265874
passive_buffer,4,interleaved_mps,93,8,0.9994362539607724,0.023745010297469265
passive_buffer,4,graph_optimized_mps,30,2,0.9222829576697301,0.2815825234481318
passive_buffer,4,graph_optimized_mps,30,4,0.9949155953725267,0.071350430287399
passive_buffer,4,graph_optimized_mps,30,8,0.9999744643776264,0.005053294509191797
floquet_buffer,4,interleaved_mps,93,2,0.8886450895506102,0.33858606412159453
floquet_buffer,4,interleaved_mps,93,4,0.9918202796989143,0.09053461227511889
