point_id,beta1,beta_v,J0,J1,Jz,sigma,sum_J,energy_conserved,second_law_valid,beta_out,convergence_steps,final_error,threshold,margin,logic_output
0,0.5,4.498322391968548,-6.610362039145742e-08,6.568593475315128e-08,4.176856404750358e-10,6.589477757013545e-08,2.1688940358936403e-18,True,True,0.152559938757391,1525,3.577873603482833e-13,0.1525599374012408,1.356150192144412e-09,1
1,0.5714285714285714,4.284217382974129,-5.832191893358425e-08,5.7288907765604386e-08,1.0330111663045367e-09,5.371334851086934e-08,-1.6753252905505993e-18,True,True,0.15255993539229123,1534,5.607845263682344e-13,0.1525599374012408,2.008949562259943e-09,0
2,0.6428571428571428,4.070086636386285,-5.173974189770669e-08,5.033499073820018e-08,1.4047511607230708e-09,4.384665335413686e-08,1.2165609966613395e-18,True,True,0.1525599333593151,1431,1.083051243175277e-12,0.1525599374012408,4.041925710795979e-09,0
3,0.7142857142857143,3.8559361726871604,-4.604559657474794e-08,4.443147857781072e-08,1.6141179973489705e-09,3.5717506452050986e-08,4.117539653166461e-19,True,True,0.15255993221432723,1523,1.0538020520349029e-12,0.1525599374012408,5.186913565324858e-09,0
4,0.7857142857142857,3.6417699032539383,-4.104180401288542e-08,3.932889197064254e-08,1.7129120415095066e-09,2.8948521715170914e-08,-7.333717136446139e-19,True,True,0.15255993167404122,1529,1.377669367957091e-12,0.1525599374012408,5.727199575700226e-09,0
5,0.8571428571428571,3.427590541787417,-3.659622522529077e-08,3.486058840508316e-08,1.7356368211929925e-09,2.327819666952902e-08,9.853871765099197e-19,True,True,0.15255993154976363,1428,9.378250399151228e-13,0.1525599374012408,5.851477163920649e-09,0
6,0.9285714285714286,3.2134000821337048,-3.2616369252262e-08,3.0910330187005336e-08,1.7060390640777295e-09,1.851606535495318e-08,-1.1789375136799776e-18,True,True,0.1525599317116282,1686,5.150352672086598e-13,0.1525599374012408,5.6896125866234826e-09,0
7,1.0,2.9992000629395426,-2.9034704574271616e-08,2.7393841500773415e-08,1.640863074231619e-09,1.451735228640239e-08,7.334180357589169e-19,True,True,0.1525599320680634,1547,5.137859509122088e-13,0.1525599374012408,5.3331773997022935e-09,0
8,1.0714285714285714,2.784991721126619,-2.5799950139710117e-08,2.4247830030870558e-08,1.552120108816693e-09,1.116798721053003e-08,-2.2866580853415897e-20,True,True,0.152559932553382,1380,5.150476863060479e-13,0.1525599374012408,4.847858808831873e-09,0
9,1.1428571428571428,2.5707760845555727,-2.2871728370407105e-08,2.1423206170475597e-08,1.4485222002472345e-09,0.0,3.1572656800536513e-19,True,True,0.1525599331199395,1565,3.852731490654721e-12,0.1525599374012408,4.281301285713468e-09,0
10,1.2142857142857142,2.3565540301073398,-2.0217190241663485e-08,1.88807666575945e-08,1.3364235833038694e-09,0.0,-7.65117251193174e-19,True,True,0.15255993373298574,1402,5.708905106931669e-13,0.1525599374012408,3.6682550608180264e-09,0
11,1.2857142857142856,2.1423263214456,-1.7808837387900126e-08,1.6588377457273063e-08,1.220459930367289e-09,0.0,-2.5977441701105324e-19,True,True,0.15255993436716903,1578,1.1355656401805988e-12,0.1525599374012408,3.034071771601532e-09,0
12,1.3571428571428572,1.9280936345012065,-1.5623090941552463e-08,1.4519095698155567e-08,1.1039952426859603e-09,0.0,-7.109352667097256e-19,True,True,0.15255993500409265,1615,9.540017634932024e-13,0.1525599374012408,2.397148146648931e-09,0
13,1.4285714285714284,1.7138565753525763,-1.3639336175071677e-08,1.2649893978011428e-08,9.89442196937177e-10,0.0,-1.2307124025808967e-19,True,True,0.15255993563056186,1417,6.51391251305798e-13,0.1525599374012408,1.7706789368077125e-09,0
14,1.5,1.4996156932894247,-1.183927526365404e-08,1.0960778584038108e-08,8.784966791286359e-10,0.0,-4.872970619386639e-19,True,True,0.15255993623730196,1596,3.152692446403456e-13,0.1525599374012408,1.163938834203293e-09,0
15,1.5714285714285714,1.2853714907615639,-1.0206481875787256e-08,9.434169383640063e-09,7.723124914171712e-10,0.0,-7.3002163216377415e-19,True,True,0.1525599368180033,1541,7.589692204932674e-13,0.1525599374012408,5.832374860847978e-10,0
16,1.6428571428571428,1.07112443127281,-8.726089049277844e-09,8.054455740023114e-09,6.716333092434967e-10,0.0,-1.1233112718470116e-20,True,True,0.15255993736859894,1582,7.728252145375717e-13,0.1525599374012408,3.264186143603354e-11,0
17,1.7142857142857142,0.8568749458943421,-7.3845655063524345e-09,6.807672114991813e-09,5.768933911855352e-10,0.0,-1.7508601153664916e-19,True,True,0.1525599378867137,1689,2.368186067400089e-13,0.1525599374012408,4.854729118708434e-10,1
18,1.7857142857142856,0.6426234388349078,-6.169550846668715e-09,5.681255805165669e-09,4.882950417561325e-10,0.0,2.5308583457794945e-19,True,True,0.15255993837124143,1475,4.853635478291035e-13,0.1525599374012408,9.700006353696722e-10,1
19,1.857142857142857,0.42837029235840873,-5.069730018326396e-09,4.6638615504534515e-09,4.058684681749306e-10,0.0,3.019862708502468e-19,True,True,0.1525599388220169,1424,8.187413938632255e-14,0.1525599374012408,1.4207761078743886e-09,1
20,1.9285714285714284,0.21411587124689224,-4.074734064010827e-09,3.745215907250816e-09,3.2951815678320005e-10,0.0,2.3189181292311578e-20,True,True,0.15255993923956251,1411,2.314658566673509e-12,0.1525599374012408,1.8383217170736543e-09,1
21,2.0,-0.00013947305160301988,-3.175058543410729e-09,2.915999739245486e-09,2.590588043932015e-10,0.0,2.2795856911042613e-19,True,True,0.15255993962489145,1418,1.867265192591748e-12,0.1525599374012408,2.2236506524997424e-09,1
22,2.071428571428571,-0.2143953984882331,-2.361993983090602e-09,2.1677508742697724e-09,1.942431083486726e-10,0.0,-4.721569683919527e-19,True,True,0.1525599399793563,1492,6.862601903745135e-13,0.1525599374012408,2.5781154988635535e-09,1
23,2.142857142857143,-0.42865156861324366,-1.6275646635499806e-09,1.4927814941814486e-09,1.3478316914280067e-10,0.0,-2.257313853111271e-19,True,True,0.15255994030453152,1534,1.6127158711896515e-12,0.1525599374012408,2.90329071894746e-09,1
24,2.2142857142857144,-0.6429076488473207,-9.644733930223539e-10,8.841065249697786e-10,8.036686865295159e-11,0.0,6.003763739874193e-19,True,True,0.15255994060212413,1527,4.719318657894335e-13,0.1525599374012408,3.200883336162974e-09,1
25,2.2857142857142856,-0.857163302770324,-3.660507616292904e-10,3.3538047073437344e-10,3.0670290355723654e-11,0.0,-5.391932878956869e-19,True,True,0.15255994087390543,1582,1.0889505969673661e-12,0.1525599374012408,3.4726646280791584e-09,1
26,2.3571428571428568,-1.0714181883790783,1.7379204301929455e-10,-1.5915907118611149e-10,-1.4632971617819333e-11,0.0,2.1536373615793474e-19,True,True,0.15255994112166052,1501,6.428001909546277e-14,0.1525599374012408,3.720419722297308e-09,1
27,2.4285714285714284,-1.2856719542686184,6.606074084514898e-10,-6.047424478809404e-10,-5.5864961667905915e-11,0.0,-1.0973565155742055e-18,True,True,0.15255994134715045,1645,1.0777447779293062e-12,0.1525599374012408,3.945909654579083e-09,1
28,2.5,-1.4999242356923823,1.099452814478505e-09,-1.0061143897936909e-09,-9.333842518795935e-11,0.0,-5.031452220897205e-19,True,True,0.15255994155208583,1473,7.153037092599682e-13,0.1525599374012408,4.15084502880525e-09,1
29,2.571428571428571,-1.7141746504566109,1.4949298610148767e-09,-1.3675764845983876e-09,-1.273533763999511e-10,0.0,1.653802878192582e-20,True,True,0.1525599417381072,1772,6.795977489346759e-13,0.1525599374012408,4.336866393783723e-09,1
30,2.642857142857143,-1.9284227946030361,1.851220945945901e-09,-1.6930261261979957e-09,-1.581948203517352e-10,0.0,-6.038298530448282e-19,True,True,0.1525599419067733,1562,7.303666317171366e-13,0.1525599374012408,4.505532502641074e-09,1
31,2.714285714285714,-2.142668237831668,2.1721236640778308e-09,-1.9859922907332395e-09,-1.8613137251022697e-10,0.0,8.343642625827444e-19,True,True,0.15255994205955306,1414,2.1645858958197486e-13,0.1525599374012408,4.658312263705611e-09,1
32,2.7857142857142856,-2.3569105186126182,2.461082984626688e-09,-2.24966841848252e-09,-2.1141456629381942e-10,0.0,-1.4965144847156238e-19,True,True,0.1525599421978222,1392,4.5571839903813785e-14,0.1525599374012408,4.796581409838296e-09,1
