point_id,beta1,beta_v,J0,J1,Jz,Jz_abs
0,0.5,4.498322391968548,-6.610362039145742e-08,6.568593475315128e-08,4.176856404750358e-10,4.176856404750358e-10
1,0.5714285714285714,4.284217382974129,-5.832191893358425e-08,5.7288907765604386e-08,1.0330111663045367e-09,1.0330111663045367e-09
2,0.6428571428571428,4.070086636386285,-5.173974189770669e-08,5.033499073820018e-08,1.4047511607230708e-09,1.4047511607230708e-09
3,0.7142857142857143,3.8559361726871604,-4.604559657474794e-08,4.443147857781072e-08,1.6141179973489705e-09,1.6141179973489705e-09
4,0.7857142857142857,3.6417699032539383,-4.104180401288542e-08,3.932889197064254e-08,1.7129120415095066e-09,1.7129120415095066e-09
5,0.8571428571428571,3.427590541787417,-3.659622522529077e-08,3.486058840508316e-08,1.7356368211929925e-09,1.7356368211929925e-09
6,0.9285714285714286,3.2134000821337048,-3.2616369252262e-08,3.0910330187005336e-08,1.7060390640777295e-09,1.7060390640777295e-09
7,1.0,2.9992000629395426,-2.9034704574271616e-08,2.7393841500773415e-08,1.640863074231619e-09,1.640863074231619e-09
8,1.0714285714285714,2.784991721126619,-2.5799950139710117e-08,2.4247830030870558e-08,1.552120108816693e-09,1.552120108816693e-09
9,1.1428571428571428,2.5707760845555727,-2.2871728370407105e-08,2.1423206170475597e-08,1.4485222002472345e-09,1.4485222002472345e-09
10,1.2142857142857142,2.3565540301073398,-2.0217190241663485e-08,1.88807666575945e-08,1.3364235833038694e-09,1.3364235833038694e-09
11,1.2857142857142856,2.1423263214456,-1.7808837387900126e-08,1.6588377457273063e-08,1.220459930367289e-09,1.220459930367289e-09
12,1.3571428571428572,1.9280936345012065,-1.5623090941552463e-08,1.4519095698155567e-08,1.1039952426859603e-09,1.1039952426859603e-09
13,1.4285714285714284,1.7138565753525763,-1.3639336175071677e-08,1.2649893978011428e-08,9.89442196937177e-10,9.89442196937177e-10
14,1.5,1.4996156932894247,-1.183927526365404e-08,1.0960778584038108e-08,8.784966791286359e-10,8.784966791286359e-10
