point_id,beta1,sigma,sigma_abs,sum_J,sum_J_abs,energy_conserved,second_law_valid
0,0.5,6.589477757013545e-08,6.589477757013545e-08,2.1688940358936403e-18,2.1688940358936403e-18,True,True
1,0.5714285714285714,5.371334851086934e-08,5.371334851086934e-08,-1.6753252905505993e-18,1.6753252905505993e-18,True,True
2,0.6428571428571428,4.384665335413686e-08,4.384665335413686e-08,1.2165609966613395e-18,1.2165609966613395e-18,True,True
3,0.7142857142857143,3.5717506452050986e-08,3.5717506452050986e-08,4.117539653166461e-19,4.117539653166461e-19,True,True
4,0.7857142857142857,2.8948521715170914e-08,2.8948521715170914e-08,-7.333717136446139e-19,7.333717136446139e-19,True,True
5,0.8571428571428571,2.327819666952902e-08,2.327819666952902e-08,9.853871765099197e-19,9.853871765099197e-19,True,True
6,0.9285714285714286,1.851606535495318e-08,1.851606535495318e-08,-1.1789375136799776e-18,1.1789375136799776e-18,True,True
7,1.0,1.451735228640239e-08,1.451735228640239e-08,7.334180357589169e-19,7.334180357589169e-19,True,True
8,1.0714285714285714,1.116798721053003e-08,1.116798721053003e-08,-2.2866580853415897e-20,2.2866580853415897e-20,True,True
9,1.1428571428571428,0.0,0.0,3.1572656800536513e-19,3.1572656800536513e-19,True,True
10,1.2142857142857142,0.0,0.0,-7.65117251193174e-19,7.65117251193174e-19,True,True
11,1.2857142857142856,0.0,0.0,-2.5977441701105324e-19,2.5977441701105324e-19,True,True
12,1.3571428571428572,0.0,0.0,-7.109352667097256e-19,7.109352667097256e-19,True,True
13,1.4285714285714284,0.0,0.0,-1.2307124025808967e-19,1.2307124025808967e-19,True,True
14,1.5,0.0,0.0,-4.872970619386639e-19,4.872970619386639e-19,True,True
15,1.5714285714285714,0.0,0.0,-7.3002163216377415e-19,7.3002163216377415e-19,True,True
16,1.6428571428571428,0.0,0.0,-1.1233112718470116e-20,1.1233112718470116e-20,True,True
17,1.7142857142857142,0.0,0.0,-1.7508601153664916e-19,1.7508601153664916e-19,True,True
18,1.7857142857142856,0.0,0.0,2.5308583457794945e-19,2.5308583457794945e-19,True,True
19,1.857142857142857,0.0,0.0,3.019862708502468e-19,3.019862708502468e-19,True,True
20,1.9285714285714284,0.0,0.0,2.3189181292311578e-20,2.3189181292311578e-20,True,True
21,2.0,0.0,0.0,2.2795856911042613e-19,2.2795856911042613e-19,True,True
22,2.071428571428571,0.0,0.0,-4.721569683919527e-19,4.721569683919527e-19,True,True
23,2.142857142857143,0.0,0.0,-2.257313853111271e-19,2.257313853111271e-19,True,True
24,2.2142857142857144,0.0,0.0,6.003763739874193e-19,6.003763739874193e-19,True,True
25,2.2857142857142856,0.0,0.0,-5.391932878956869e-19,5.391932878956869e-19,True,True
26,2.3571428571428568,0.0,0.0,2.1536373615793474e-19,2.1536373615793474e-19,True,True
27,2.4285714285714284,0.0,0.0,-1.0973565155742055e-18,1.0973565155742055e-18,True,True
28,2.5,0.0,0.0,-5.031452220897205e-19,5.031452220897205e-19,True,True
29,2.571428571428571,0.0,0.0,1.653802878192582e-20,1.653802878192582e-20,True,True
30,2.642857142857143,0.0,0.0,-6.038298530448282e-19,6.038298530448282e-19,True,True
31,2.714285714285714,0.0,0.0,8.343642625827444e-19,8.343642625827444e-19,True,True
32,2.7857142857142856,0.0,0.0,-1.4965144847156238e-19,1.4965144847156238e-19,True,True
33,2.857142857142857,0.0,0.0,-6.252037864828921e-20,6.252037864828921e-20,True,True
34,2.9285714285714284,0.0,0.0,2.5376577704146804e-19,2.5376577704146804e-19,True,True
35,3.0,0.0,0.0,-6.733605873845043e-19,6.733605873845043e-19,True,True
36,3.071428571428571,0.0,0.0,3.1654134090872987e-19,3.1654134090872987e-19,True,True
37,3.142857142857143,0.0,0.0,-2.0610445732677514e-19,2.0610445732677514e-19,True,True
38,3.214285714285714,0.0,0.0,4.1729028515646353e-19,4.1729028515646353e-19,True,True
39,3.2857142857142856,0.0,0.0,-4.370499756291303e-19,4.370499756291303e-19,True,True
40,3.3571428571428568,0.0,0.0,8.825950961491801e-19,8.825950961491801e-19,True,True
41,3.4285714285714284,0.0,0.0,3.928198010953073e-20,3.928198010953073e-20,True,True
42,3.5,0.0,0.0,3.1060880155549955e-19,3.1060880155549955e-19,True,True
43,3.571428571428571,0.0,0.0,2.0146810999341542e-19,2.0146810999341542e-19,True,True
44,3.642857142857143,0.0,0.0,5.783274611695121e-19,5.783274611695121e-19,True,True
45,3.714285714285714,0.0,0.0,1.123410533520518e-19,1.123410533520518e-19,True,True
46,3.7857142857142856,0.0,0.0,-1.7409670352403573e-20,1.7409670352403573e-20,True,True
47,3.8571428571428568,0.0,0.0,-1.193762244618153e-19,1.193762244618153e-19,True,True
48,3.9285714285714284,0.0,0.0,4.158927635115552e-19,4.158927635115552e-19,True,True
49,4.0,1.0343972832083075e-08,1.0343972832083075e-08,-1.1662328466517756e-18,1.1662328466517756e-18,True,True
