point_id,beta1,beta_out,beta_out_range,convergence_steps,final_error,error_satisfied
0,0.5,0.152559938757391,1.1702954327841297e-08,1525,3.577873603482833e-13,True
1,0.5714285714285714,0.15255993539229123,1.1702954327841297e-08,1534,5.607845263682344e-13,True
2,0.6428571428571428,0.1525599333593151,1.1702954327841297e-08,1431,1.083051243175277e-12,True
3,0.7142857142857143,0.15255993221432723,1.1702954327841297e-08,1523,1.0538020520349029e-12,True
4,0.7857142857142857,0.15255993167404122,1.1702954327841297e-08,1529,1.377669367957091e-12,True
5,0.8571428571428571,0.15255993154976363,1.1702954327841297e-08,1428,9.378250399151228e-13,True
6,0.9285714285714286,0.1525599317116282,1.1702954327841297e-08,1686,5.150352672086598e-13,True
7,1.0,0.1525599320680634,1.1702954327841297e-08,1547,5.137859509122088e-13,True
8,1.0714285714285714,0.152559932553382,1.1702954327841297e-08,1380,5.150476863060479e-13,True
9,1.1428571428571428,0.1525599331199395,1.1702954327841297e-08,1565,3.852731490654721e-12,True
10,1.2142857142857142,0.15255993373298574,1.1702954327841297e-08,1402,5.708905106931669e-13,True
11,1.2857142857142856,0.15255993436716903,1.1702954327841297e-08,1578,1.1355656401805988e-12,True
12,1.3571428571428572,0.15255993500409265,1.1702954327841297e-08,1615,9.540017634932024e-13,True
13,1.4285714285714284,0.15255993563056186,1.1702954327841297e-08,1417,6.51391251305798e-13,True
14,1.5,0.15255993623730196,1.1702954327841297e-08,1596,3.152692446403456e-13,True
15,1.5714285714285714,0.1525599368180033,1.1702954327841297e-08,1541,7.589692204932674e-13,True
16,1.6428571428571428,0.15255993736859894,1.1702954327841297e-08,1582,7.728252145375717e-13,True
17,1.7142857142857142,0.1525599378867137,1.1702954327841297e-08,1689,2.368186067400089e-13,True
18,1.7857142857142856,0.15255993837124143,1.1702954327841297e-08,1475,4.853635478291035e-13,True
19,1.857142857142857,0.1525599388220169,1.1702954327841297e-08,1424,8.187413938632255e-14,True
20,1.9285714285714284,0.15255993923956251,1.1702954327841297e-08,1411,2.314658566673509e-12,True
21,2.0,0.15255993962489145,1.1702954327841297e-08,1418,1.867265192591748e-12,True
22,2.071428571428571,0.1525599399793563,1.1702954327841297e-08,1492,6.862601903745135e-13,True
23,2.142857142857143,0.15255994030453152,1.1702954327841297e-08,1534,1.6127158711896515e-12,True
24,2.2142857142857144,0.15255994060212413,1.1702954327841297e-08,1527,4.719318657894335e-13,True
25,2.2857142857142856,0.15255994087390543,1.1702954327841297e-08,1582,1.0889505969673661e-12,True
26,2.3571428571428568,0.15255994112166052,1.1702954327841297e-08,1501,6.428001909546277e-14,True
27,2.4285714285714284,0.15255994134715045,1.1702954327841297e-08,1645,1.0777447779293062e-12,True
28,2.5,0.15255994155208583,1.1702954327841297e-08,1473,7.153037092599682e-13,True
29,2.571428571428571,0.1525599417381072,1.1702954327841297e-08,1772,6.795977489346759e-13,True
30,2.642857142857143,0.1525599419067733,1.1702954327841297e-08,1562,7.303666317171366e-13,True
31,2.714285714285714,0.15255994205955306,1.1702954327841297e-08,1414,2.1645858958197486e-13,True
32,2.7857142857142856,0.1525599421978222,1.1702954327841297e-08,1392,4.5571839903813785e-14,True
33,2.857142857142857,0.15255994232286155,1.1702954327841297e-08,1548,6.516003476058171e-13,True
34,2.9285714285714284,0.15255994243585902,1.1702954327841297e-08,1477,2.1439440893253257e-12,True
35,3.0,0.15255994253791144,1.1702954327841297e-08,1571,6.339190223180112e-13,True
36,3.071428571428571,0.15255994263002814,1.1702954327841297e-08,1547,2.0251425866576073e-12,True
37,3.142857142857143,0.15255994271313567,1.1702954327841297e-08,1492,1.8645431476942764e-13,True
38,3.214285714285714,0.15255994278808246,1.1702954327841297e-08,1415,6.61786464768388e-13,True
39,3.2857142857142856,0.15255994285564323,1.1702954327841297e-08,1348,8.52433334796224e-13,True
40,3.3571428571428568,0.15255994291652442,1.1702954327841297e-08,1455,7.925207384327006e-13,True
41,3.4285714285714284,0.15255994297136938,1.1702954327841297e-08,1585,1.14736441466899e-13,True
42,3.5,0.15255994302076256,1.1702954327841297e-08,1521,5.049872789804571e-13,True
43,3.571428571428571,0.15255994306523474,1.1702954327841297e-08,1375,8.657551941701215e-13,True
44,3.642857142857143,0.15255994310526722,1.1702954327841297e-08,1517,1.2002964070557763e-12,True
45,3.714285714285714,0.15255994314129595,1.1702954327841297e-08,1538,3.3450123584094837e-13,True
46,3.7857142857142856,0.1525599431737154,1.1702954327841297e-08,1411,4.749453111609562e-13,True
47,3.8571428571428568,0.15255994320288246,1.1702954327841297e-08,1515,6.533292325737119e-13,True
48,3.9285714285714284,0.1525599432291196,1.1702954327841297e-08,1505,1.7654542402810969e-12,True
49,4.0,0.15255994325271796,1.1702954327841297e-08,1385,4.0498171096095553e-13,True
